Organizer,Event_Website,Date_of_Event,Time_of_event,Address,City,Latitude,Longitude
,,,,,,,
Ashley Norris and WE THE PEOPLE,https://www.facebook.com/events/374811246838654/,"Saturday, 22 August, 2020",12 PM – 3 PM EDT,"Main St, Ashland, OH","Ashland, OH",40.7887367,-82.2360391
HRenae Harrison and #ProtectOurChildren Oklahoma,https://www.facebook.com/events/213672480074274/,"Saturday, 22 August, 2020",12 PM – 4 PM CDT,"150 E Reno Ave, Oklahoma City, OK 73104-4202","Oklahoma City, Oklahoma",35.4729886,-97.5170536
"Jesse Ehrnstrom, Mike Rufo and 2nd Amendment Rally in South Jersey",https://www.facebook.com/events/689131685146532/,"Saturday, 22 August, 2020",11 AM – 4 PM EDT,"290 RT-72, Barnegat, NJ 08005-1055","Barnegat, NJ",39.755746200000004,-74.22071740889322
Reopen Louisiana,https://www.facebook.com/events/314520103294107/,"Saturday, 22 August, 2020",9 AM – 11 AM CDT,Louisiana Governor's Mansion,"Baton Rouge, Louisiana",30.4459596,-91.18738
Immigrants & exile: stories of longing & nostalgia and Black Lives Matter Lehigh Valley,https://www.facebook.com/events/310824960059165/,"Sunday, 23 August, 2020",3 PM – 6 PM EDT,"Bethlehem Area Public Library, 11 W Church St","Bethlehem, PA",-1.45056,-48.4682453
Eric Puryear and Travis Schlitter,https://www.facebook.com/events/623795348260566/,"Saturday, 22 August, 2020",4 PM – 6 PM CDT,"Davenport Police Department, 416 Harrison Street","Davenport, Iowa",41.5236436,-90.5776368
UIC Students for a Democratic Society and UIC Graduate Employees Organization,https://www.facebook.com/events/377621373229197/,"Saturday, 22 August, 2020",5 PM – 7 PM CDT,"1514 W Jackson Blvd, Chicago, IL","Chicago, Illinois",41.8755616,-87.6244212
Tonya Carruth,https://www.facebook.com/events/3733147733368559/,"Saturday, 22 August, 2020",10 AM – 1 PM CDT,"Ben Geren Regional Park, 7200 South Zero Street, Fort Smith, AR","Fort Smith, Arkansas",35.3872218,-94.4248983
Change Starts With us Ohio,https://www.facebook.com/events/1408414919546493/,"Saturday, 22 August, 2020",3 PM – 6 PM EDT,"Ohio Statehouse, 1 Capitol Square, Columbus, OH","Columbus, Ohio",39.9622601,-83.0007065
