latitude,longitude
32.44,-99.73
-34.92,138.6
41.07,-81.51
42.65,-73.76
44.63,-123.096
43.64,-93.36
35.11,-106.61
31.31,-92.45
34.08,-118.14
-23.7,133.87
33.58,-117.73
42.25,-83.21
40.6,-75.47
30.36,-103.66
34.19,-118.13
40.51,-78.39
35.22,-101.83
42.03,-93.63
42.93,-74.19
48.5,-122.62
33.83,-117.91
61.217,-149.9
40.1,-85.67
34.51,-82.64
42.28,-83.74
38.97,-76.5
34.5,-117.19
44.27,-88.4
40.87,-124.09
32.73,-97.1
38.88,-77.08
40.22,-74.01
35.59,-82.55
42.19,-122.7
40.76,-73.94
46.18,-123.82
33.95,-83.35
39.32,-82.1
33.75,-84.39
39.37,-74.45
32.6,-85.48
42.93,-76.56
33.47,-82.01
44.31,-69.77
39.71,-104.81
41.75,-88.31
30.26,-97.74
39.76,-86.39
43.8,-83
35.37,-119.01
32.73,-117.14
43.16,-76.33
39.28,-76.62
44.8,-68.77
40.68,-73.97
41.7,-70.3
42.15,-88.13
42.99,-78.18
30.45,-91.19
40.7,-74.01
40.62,-74.02
41.51,-73.98
38.86,-86.49
40.68,-73.94
39.53,-76.34
44.43,-69.01
38.52,-89.99
47.61,-122.19
48.76,-122.48
47.47,-94.88
44.05,-121.31
36.36,-94.2
60.79,-161.76
38.98,-77.11
40.62,-75.37
34.07,-118.4
45.79,-108.54
30.4,-88.89
42.09,-75.91
33.51,-86.81
46.81,-100.78
37.22,-80.41
39.16,-86.53
41,-76.45
40.89,-83.89
26.36,-80.1
43.61,-116.2
37.82,-122.51
26.33,-81.8
36.21,-81.66
40.14,-74.71
42.36,-71.06
40.01,-105.27
35.98,-114.83
36.98,-86.44
41.37,-83.65
34.03,-118.2
45.67,-111.04
41.95,-78.64
42.85,-72.58
33.92,-117.89
47.57,-122.65
40.05,-74.11
40.94,-72.3
41.17,-73.19
-27.47,153.03
43.59,-71.73
41.68,-71.27
36.58,-82.18
36.61,-82.17
42.08,-71.01
36.06,-95.79
42.05,-124.28
44.31,-96.8
40.69,-73.99
40.7,-73.99
40.67,-73.96
39.84,-86.4
25.93,-97.48
50.85,4.35
40.75,-73.98
42.88,-78.87
34.18,-118.33
47.468,-122.346
44.47,-73.21
48.47,-122.32
35.91,-82.3
40.69,-73.91
40.86,-79.89
46,-112.53
34.97,-92.02
40.69,-73.99
34.14,-118.66
32.67,-115.49
42.37,-71.11
39.92,-75.11
42.88,-77.27
-35.29,149.13
44.59,-75.17
40.79,-81.37
26.63,-81.96
37.31,-89.56
40.2,-77.2
33.15,-117.35
39.973,-86.12
41.42,-73.67
33.57,-85.07
39.16,-119.77
34.15,-84.79
32.87,-111.74
42.83,-106.26
37.69,-122.09
42.21,-73.86
41.98,-91.66
40.79,-73.19
40.77,-73.96
37.54,-121.97
34.06,-118.42
33.87,-118.07
39.93,-77.66
40.115,-88.27
35.9,-79.04
32.78,-79.93
38.34,-81.63
35.23,-80.84
35.04,-85.3
46.66,-122.963
41.14,-104.82
40.71,-73.99
34.02,-117.69
33.99,-117.76
32.63,-117.05
39.1,-84.51
34.11,-117.72
41.2,-79.38
36.52,-87.35
37.94,-121.94
41.49,-81.69
40.85,-74.16
42.86,-73.81
43.04,-75.37
40.69,-73.96
34.4,-103.21
39.98,-75.82
44.53,-109.06
47.67,-116.78
37.04,-95.63
38.83,-104.82
39.2,-76.85
38.95,-92.33
34,-81.03
32.45,-84.98
40.76,-73.98
40.84,-73.29
33.9,-118.23
37.98,-122.03
43.21,-71.54
43.98,-71.12
42.7,-74.92
25.71,-80.27
26.27,-80.25
45.02,-74.73
32.68,-117.18
27.8,-97.39
44.56,-123.26
34.09,-117.88
40.03,-86.89
40.67,-73.94
34.01,-118.4
32.78,-96.8
33.47,-117.7
41.39,-73.45
40.96,-76.61
41.54,-90.59
38.55,-121.74
39.75,-84.19
29.19,-81.08
42.31,-83.21
43.3,-91.78
32.94,-117.25
29.02,-81.28
40.29,-83.06
42.27,-74.91
42.62,-73.83
26.45,-80.07
33.22,-97.13
39.74,-104.99
41.59,-93.62
42.33,-83.04
34,-117.82
46.87,-102.78
41.01,-73.87
39.15,-75.52
43.19,-70.88
33.94,-118.13
40.31,-75.13
41.12,-78.75
42.5,-90.69
46.78,-92.1
35.3,-78.6
35.99,-78.89
47.93,-97.02
42.73,-84.48
40.71,-73.56
40.65,-73.87
37.47,-122.14
32.71,-117.15
40.69,-75.21
48.69,-122.9
44.8,-91.48
26.3,-98.16
47.807,-122.347
31.76,-106.49
44.21,-73.59
41.683056,-85.968889
40.83,-115.76
47,-120.55
42.09,-76.8
39,-84.6
47.9,-91.85
33.03,-117.29
41.98,-72.57
40.89,-73.97
42.12,-80.08
33.11,-117.08
44.05,-123.08
40.8,-124.16
37.97,-87.56
47.979,-122.202
64.84,-147.72
38.846544,-77.30466179
